affy_probe	gene_symbol
82648_at	LOC100128139
236768_at	LOC100128139
237635_at	LOC100128164
82762_at	LOC100128164
59555_at	LOC100128164
224095_at	LOC100128175
1557741_at	LOC100128176
1557742_a_at	LOC100128176
74709_at	LOC100128178
232090_at	LOC100128178
235891_at	LOC100128178
78778_at	LOC100128178
89477_at	LOC100128178
224294_at	LOC100128185
227578_at	LOC100128191
45702_at	LOC100128191
79114_at	LOC100128198
239564_at	LOC100128198
1560617_at	LOC100128198
84322_at	FLJ25694
1553614_a_at	FLJ25694
1555726_at	GAFA3
238872_at	LOC100128239
63156_at	LOC100128239
244740_at	LOC100128252
244741_s_at	LOC100128252
57119_s_at	LOC100128252
49023_r_at	LOC100128252
1565784_at	LOC100128262
83222_at	LOC100128276
55228_at	DNM1P35
1559045_at	LOC100128288
66016_at	LOC100128288
81018_at	LOC100128292
239565_at	LOC100128292
1562598_at	LOC100128292
224270_at	OCR1
232368_at	BET3L
78697_at	BET3L
1568929_at	LOC100128343
55895_at	NCRNA00256B
65202_at	LOC100128398
73004_at	LOC100128402
229999_at	LOC100128416
53677_at	LOC100128416
1559648_at	LOC100128420
54750_at	LOC100128420
58824_at	LOC100128437
85089_at	LOC100128494
237793_at	LOC100128496
79442_at	LOC100128496
91610_at	LOC100128501
229296_at	LOC100128501
239894_at	LOC100128511
71347_at	LOC100128511
1561294_a_at	LOC100128554
87636_at	LOC100128560
74799_at	C19orf71
1558920_at	LOC100128590
1564691_at	LOC100128594
215590_x_at	LOC100128640
236053_at	LOC100128653
71278_at	LOC100128653
74450_at	LOC100128687
74452_at	LOC100128687
1558440_at	LOC100128687
42897_at	LOC100128691
240395_at	LOC100128727
68653_at	LOC100128727
64633_at	LOC100128729
224637_at	OST4
89911_s_at	OST4
48835_s_at	OST4
89912_at	LOC100128737
228753_at	LOC100128737
85857_at	LOC100128751
232623_at	LOC100128751
78821_at	C9orf130
90040_at	C9orf130
227893_at	C9orf130
239799_at	C9orf130
81054_at	C9orf130
41915_at	C9orf130
1557788_a_at	C9orf130
44915_at	LOC100128787
64847_at	LOC100128787
64848_g_at	LOC100128787
1562930_at	LOC100128788
235174_s_at	LOC100128822
44567_at	LOC100128822
1564490_at	LOC100128830
1562783_at	LOC100128840
1558728_at	LOC100128881
80417_at	LOC100128885
89731_at	LOC100128893
89734_g_at	LOC100128893
236118_at	LOC100128893
56806_at	LOC100128893
74521_at	LOC100128909
236008_at	LOC100128909
55340_at	LOC100128909
224362_at	LOC100128922
229691_at	ZBTB42
60089_at	ZBTB42
65346_at	ZBTB42
66151_at	LOC100128942
1557588_at	LOC100128946
91839_at	LOC100128977
91841_at	LOC100128977
91843_g_at	LOC100128977
236789_at	LOC100128977
236790_s_at	LOC100128977
237331_s_at	LOC100128977
237536_at	LOC100128977
1563367_at	LOC100128977
88905_r_at	LOC100128979
70327_at	LOC100128988
232849_at	LOC100128988
1560595_at	LOC100128993
1567035_at	C20orf181
1567036_at	C20orf181
1426973_at	Gpr153
1563120_at	LOC100129029
225214_at	LOC100129034
244823_at	LOC100129034
57195_at	LOC100129034
90237_at	LOC100129046
61551_at	LOC100129048
72990_at	LOC100129055
62414_at	LOC100129055
1564300_at	LOC100129058
51488_at	LOC100129066
233527_at	LOC100129069
234121_at	LOC100129069
84989_at	LOC100129094
1569361_a_at	LOC100129098
