'ID_REF','IDENTIFIER','GDS2545.soft.gz_table_0.GSM152804','GDS2545.soft.gz_table_0.GSM152805','GDS2545.soft.gz_table_0.GSM152806','GDS2545.soft.gz_table_0.GSM152807','GDS2545.soft.gz_table_0.GSM152808','GDS2545.soft.gz_table_0.GSM152809','GDS2545.soft.gz_table_0.GSM152810','GDS2545.soft.gz_table_0.GSM152811','GDS2545.soft.gz_table_0.GSM152812','GDS2545.soft.gz_table_0.GSM152813','GDS2545.soft.gz_table_0.GSM152814','GDS2545.soft.gz_table_0.GSM152815','GDS2545.soft.gz_table_0.GSM152816','GDS2545.soft.gz_table_0.GSM152817','GDS2545.soft.gz_table_0.GSM152818','GDS2545.soft.gz_table_0.GSM152819','GDS2545.soft.gz_table_0.GSM152820','GDS2545.soft.gz_table_0.GSM152821'
'36794_at','ZNF250',17.8,9.0,54.7,36.9,8.6,29.1,52.2,10.3,33.8,35.4,30.8,40.1,22.0,21.8,6.0,13.7,8.9,20.1
'36795_at','PSAP',4612.1,3224.6,3981.7,4870.5,3848.2,5566.9,2602.7,3819.2,4852.7,4863.9,3718.4,4903.5,4146.3,3026.2,3866.6,3549.9,3547.1,5242.1
'36796_at','SPN',5.0,3.4,45.3,5.2,6.4,3.7,31.1,13.3,5.8,3.8,2.5,10.3,4.8,4.2,3.7,7.9,4.8,20.3
'36797_at','J04168',2.3,1.4,6.6,27.8,2.4,3.6,12.5,6.5,1.6,24.9,13.8,3.6,2.2,42.2,1.4,2.7,23.6,2.9
'36798_g_at','SPN',251.5,232.3,316.9,183.9,177.6,210.4,690.1,392.9,222.8,212.8,140.0,156.6,262.4,157.3,231.7,181.9,358.6,163.9
'36799_at','FZD2',180.8,104.2,113.2,102.2,119.3,103.2,75.2,148.2,79.7,69.8,70.5,67.1,142.0,84.0,139.9,105.7,79.8,209.8
'367_at','NEK3',10.0,31.8,92.9,34.0,12.0,9.0,39.3,55.7,23.9,39.0,17.0,46.9,18.3,8.6,28.8,6.2,7.9,18.1
'36800_at','OCA2',4.4,5.4,11.9,5.9,9.7,6.5,41.3,10.9,8.5,6.0,3.3,4.6,7.0,17.1,10.1,6.1,8.1,18.1
'36801_at','GNRH1',5.8,78.8,17.2,10.1,10.2,9.1,4.7,7.9,10.4,9.9,7.2,5.9,28.2,11.3,10.2,11.6,20.6,19.1
'36802_at','CD33',45.8,66.8,15.9,51.6,117.1,98.0,238.1,163.3,75.1,91.2,51.1,33.1,87.2,125.8,68.7,42.8,156.3,56.2
'36803_at','DGCR11',19.2,64.5,17.8,22.5,83.1,29.3,234.7,42.8,22.2,58.3,41.7,35.1,114.7,19.2,27.2,95.9,243.8,52.2
'36804_at','IDO1',69.6,62.1,58.0,121.8,88.7,108.7,222.9,187.9,62.8,142.9,98.9,111.5,115.5,52.6,84.6,114.0,148.9,80.8
'36805_s_at','NTRK1',19.4,31.2,138.3,45.1,81.8,31.1,80.7,104.3,61.4,30.7,31.0,31.7,97.0,97.2,73.5,63.2,99.6,39.3
'36806_at','TRPV6',255.9,19.2,71.3,586.7,14.5,583.5,243.2,32.8,674.7,482.4,325.5,834.8,19.3,23.0,11.1,344.7,500.6,849.8
'36807_at','FAM155B',50.7,6.6,3.9,13.6,21.6,45.8,35.9,25.3,39.0,10.5,10.7,16.4,12.6,31.8,7.3,20.0,21.7,11.8
'36808_at','PTPN22',36.6,12.2,46.0,8.7,11.7,12.7,14.9,12.6,10.2,10.2,45.0,71.8,12.1,15.0,12.5,48.5,57.2,6.1
'36809_at','CLC',25.8,7.3,11.8,21.8,34.5,13.8,26.2,15.5,7.9,9.8,6.3,4.1,17.1,13.4,10.8,6.4,21.7,33.8
'36810_at','KIAA0485',53.2,72.3,46.2,42.6,80.8,76.2,212.4,83.4,35.4,77.9,48.7,42.8,111.2,31.7,73.9,84.6,49.0,88.5
'36811_at','LOXL1',110.9,547.1,257.7,104.6,338.4,96.4,91.0,272.1,146.5,119.8,100.7,35.6,148.2,170.7,582.0,207.2,157.7,69.6
'36812_at','BCAR3',51.9,205.6,112.5,51.1,153.9,71.0,151.0,135.1,103.9,107.9,48.8,85.5,77.0,118.0,147.5,88.6,121.7,73.7
'36813_at','TRIP13',65.3,67.9,72.3,86.3,81.6,112.5,155.6,102.6,43.0,68.8,56.3,20.2,74.8,66.3,72.8,91.1,101.9,93.1
'36814_at','KIAA1109',261.5,443.3,464.0,406.0,311.8,262.3,249.9,289.1,187.5,313.9,376.7,421.6,530.6,360.4,378.4,376.4,297.5,350.8
